Column,Data_Type,Unique_Values,Missing_Count,Missing_Pct,Sample_Values
Paper_ID,str,45,0,0.0,"['Paper002', 'PAPER/50624db1', 'PAPER/25d2522c', 'PAPER/524e7c84', 'PAPER/65af36a2']"
DOI,object,0,66,100.0,[]
Journal,object,0,66,100.0,[]
Year,object,0,66,100.0,[]
Authors,object,0,66,100.0,[]
Country,str,1,50,75.76,['India']
Title,object,0,66,100.0,[]
Institution,object,0,66,100.0,[]
Crop,str,5,0,0.0,"['Bell pepper', 'Black Wheat', 'Carrot', 'Gram', 'Spinach']"
Scientific_Name,object,0,66,100.0,[]
Variety,str,3,42,63.64,"['Namdhari', 'Lalbadshah', 'Green Vatika']"
Season,str,1,50,75.76,['Sep2022-May2023']
Growth_Duration_Days,str,1,58,87.88,['120 DAS']
Growth_Stage,object,0,66,100.0,[]
Cover_Crop,object,0,66,100.0,[]
Previous_Crop,object,0,66,100.0,[]
Intercrop_Name,object,0,66,100.0,[]
Design,str,1,50,75.76,['RCBD']
Replications,float64,1,42,63.64,[3.0]
Plot_Size,float64,1,50,75.76,[8.0]
Spacing_Row,float64,1,58,87.88,[50.0]
Spacing_Plant,float64,1,58,87.88,[5.0]
Sample_Size,object,0,66,100.0,[]
Location,str,1,50,75.76,['Haridwar']
State,str,1,50,75.76,['Uttarakhand']
Location_1,object,0,66,100.0,[]
Plot_ID,object,0,66,100.0,[]
Block,object,0,66,100.0,[]
Experiment_Objective,object,0,66,100.0,[]
Sowing_Date,object,0,66,100.0,[]
Harvest_Date,object,0,66,100.0,[]
Latitude,float64,1,50,75.76,[29.9136]
Longitude,float64,1,50,75.76,[77.9975]
Altitude,object,0,66,100.0,[]
Temperature_Max,float64,2,0,0.0,"[27.0, 32.0]"
Temperature_Min,float64,2,0,0.0,"[7.0, 21.0]"
Average_Temperature,float64,1,0,0.0,[26.5]
Rainfall,float64,2,0,0.0,"[16.5, 1000.0]"
Humidity,float64,2,0,0.0,"[65.0, 60.0]"
Solar_Radiation,object,0,66,100.0,[]
Wind_Speed,object,0,66,100.0,[]
ET0,object,0,66,100.0,[]
Climate_Zone,object,0,66,100.0,[]
Soil_pH,float64,7,0,0.0,"[6.75, 7.2, 7.0, 6.8, 6.6]"
EC,float64,0,66,100.0,[]
Organic_Carbon,float64,5,0,0.0,"[1.0, 0.25, 0.3, 0.55, 0.35]"
Organic_Matter,float64,10,44,66.67,"[3.58, 3.27, 3.08, 2.99, 1.9]"
Nitrogen,float64,7,0,0.0,"[150.0, 370.0, 410.0, 390.0, 360.0]"
Phosphorus,float64,7,0,0.0,"[23.5, 5.0, 22.0, 23.0, 10.0]"
Potassium,float64,1,0,0.0,[200.0]
Sulphur,float64,10,44,66.67,"[1.14, 1.9, 2.22, 1.33, 1.88]"
Iron,float64,10,44,66.67,"[23.7, 24.29, 24.78, 24.9, 22.22]"
Copper,float64,9,44,66.67,"[0.64, 1.06, 0.91, 0.93, 0.79]"
Manganese,float64,10,44,66.67,"[1.88, 1.7, 2.41, 3.01, 2.51]"
Zinc,float64,7,44,66.67,"[1.33, 1.18, 1.07, 1.0, 1.17]"
Calcium,object,0,66,100.0,[]
Magnesium,object,0,66,100.0,[]
Boron,object,0,66,100.0,[]
Molybdenum,object,0,66,100.0,[]
Sodium,object,0,66,100.0,[]
Chlorine,object,0,66,100.0,[]
CEC,object,0,66,100.0,[]
Soil_Bulk_Density,object,0,66,100.0,[]
Soil_Clay_Pct,object,0,66,100.0,[]
Soil_Silt_Pct,object,0,66,100.0,[]
Soil_Sand_Pct,object,0,66,100.0,[]
Soil_Texture,object,0,66,100.0,[]
Soil_Class,object,0,66,100.0,[]
Soil_Depth_cm,object,0,66,100.0,[]
Treatment,str,21,0,0.0,"['T0', 'T1', 'T2', 'T3', 'T4']"
Fertilizer_Name,str,8,50,75.76,"['Control', 'Jaivik Prom', 'Pori Potash', 'Dharti ka Chaukidar', 'Jaivik Poshak']"
Organic_Fertilizer,object,0,66,100.0,[]
Biofertilizer,object,0,66,100.0,[]
Dose,float64,5,48,72.73,"[0.0, 100.0, 10.0, 7.0, 80.0]"
Application_Method,object,0,66,100.0,[]
Application_Interval,object,0,66,100.0,[]
Fertilizer_Calcium,object,0,66,100.0,[]
Fertilizer_Magnesium,object,0,66,100.0,[]
Fertilizer_Boron,object,0,66,100.0,[]
Fertilizer_Chlorine,object,0,66,100.0,[]
Fertilizer_Molybdenum,object,0,66,100.0,[]
Shoot_Length_cm,float64,16,38,57.58,"[72.444, 77.444, 81.556, 78.0, 77.0]"
Root_Length_cm,float64,14,38,57.58,"[12.556, 13.333, 13.778, 14.222, 14.333]"
Plant_Height_cm,float64,3,63,95.45,"[17.03, 21.67, 24.21]"
Shoot_Biomass_g,float64,16,38,57.58,"[6.274, 9.544, 10.292, 11.713, 10.388]"
Root_Biomass_g,float64,16,38,57.58,"[1.071, 1.349, 1.209, 1.792, 1.539]"
Leaf_Area_cm2,float64,19,35,53.03,"[41.38, 47.823, 49.747, 53.533, 54.62]"
Leaf_Number,float64,7,58,87.88,"[4.556, 6.0, 5.889, 5.556, 4.778]"
Tillers,float64,7,46,69.7,"[3.778, 4.0, 4.333, 5.333, 4.556]"
Root_Diameter_mm,float64,8,58,87.88,"[24.787, 28.754, 27.334, 25.318, 26.469]"
SPAD,float64,8,46,69.7,"[45.889, 47.778, 52.489, 49.911, 52.878]"
Moisture_Content,object,0,66,100.0,[]
Dry_Matter,float64,5,60,90.91,"[7.0, 14.0, 13.0, 12.0, 11.0]"
Stem_Diameter_mm,object,0,66,100.0,[]
Branches,float64,7,58,87.88,"[5.0, 5.467, 5.4, 5.2, 5.067]"
Nodes,object,0,66,100.0,[]
Flowers,float64,7,58,87.88,"[13.867, 13.467, 12.267, 15.333, 18.583]"
Plant_Height_30_cm,float64,8,58,87.88,"[10.6, 14.8, 12.0, 11.4, 13.733]"
Plant_Height_60_cm,float64,8,58,87.88,"[21.133, 24.533, 23.2, 23.667, 24.067]"
Plant_Height_90_cm,float64,8,58,87.88,"[29.267, 37.2, 31.8, 32.8, 38.8]"
Plant_Height_120_cm,float64,8,58,87.88,"[36.0, 43.933, 38.8, 37.533, 45.733]"
Leaf_Area_30_cm2,float64,8,58,87.88,"[12.61, 19.241, 14.253, 17.99, 17.125]"
Leaf_Area_60_cm2,float64,8,58,87.88,"[23.212, 35.863, 36.04, 29.447, 32.58]"
Leaf_Area_90_cm2,float64,8,58,87.88,"[31.55, 39.317, 40.833, 40.973, 38.633]"
Leaf_Area_120_cm2,float64,8,58,87.88,"[36.943, 52.94, 53.303, 44.097, 38.579]"
Branches_60,object,0,66,100.0,[]
Branches_90,object,0,66,100.0,[]
Flowers_60,object,0,66,100.0,[]
Yield_per_Plot,float64,8,58,87.88,"[724.96, 960.173, 999.423, 1359.49, 1723.027]"
Yield_per_Acre,float64,8,58,87.88,"[366726.45320000005, 485710.7133475, 505565.6202225, 687708.2126750001, 871606.1306525001]"
Yield_per_Hectare,float64,8,58,87.88,"[906200.0, 1200216.25, 1249278.75, 1699362.5, 2153783.75]"
Fruit_Number,object,0,66,100.0,[]
Fruit_Weight,float64,8,58,87.88,"[36.514, 63.152, 63.456, 55.54, 50.042]"
Fruit_Diameter_mm,float64,8,58,87.88,"[2.0856, 2.445, 2.459, 2.381, 2.058]"
Spike_Length,float64,10,46,69.7,"[7.433, 8.533, 8.467, 8.556, 8.989]"
Seeds_per_Spike,float64,9,46,69.7,"[40.889, 51.444, 46.667, 49.778, 51.667]"
100_Seed_Weight,float64,10,46,69.7,"[4.03, 4.81, 4.32, 4.54, 4.24]"
Root_Biomass_g_1,object,0,66,100.0,[]
Pod_Weight,object,0,66,100.0,[]
Harvest_Index,object,0,66,100.0,[]
Biomass_Yield,float64,16,38,57.58,"[7.345, 10.893, 11.501, 13.504999999999999, 11.927]"
FruitWeight_90_g,object,0,66,100.0,[]
FruitWeight_120_g,object,0,66,100.0,[]
FruitDiameter_90_mm,object,0,66,100.0,[]
FruitDiameter_120_mm,object,0,66,100.0,[]
YieldPlot_90_g,object,0,66,100.0,[]
YieldPlot_120_g,object,0,66,100.0,[]
Yield_13pct_Moisture,object,0,66,100.0,[]
Marketable_Yield,object,0,66,100.0,[]
Biological_Yield,object,0,66,100.0,[]
Stover_Yield,object,0,66,100.0,[]
Seed_Yield,object,0,66,100.0,[]
Pods_Number,object,0,66,100.0,[]
Seeds_per_Pod,object,0,66,100.0,[]
Weed_Biomass,object,0,66,100.0,[]
Protein,object,0,66,100.0,[]
Ash,float64,6,58,87.88,"[1.31, 2.2, 2.5, 2.6, 2.8]"
Gluten,object,0,66,100.0,[]
Fiber,object,0,66,100.0,[]
Carbohydrates,object,0,66,100.0,[]
Fat,object,0,66,100.0,[]
Nitrogen_Content,object,0,66,100.0,[]
Phosphorus_Content,object,0,66,100.0,[]
Potassium_Content,object,0,66,100.0,[]
Iron_1,object,0,66,100.0,[]
Copper_1,object,0,66,100.0,[]
Zinc_1,object,0,66,100.0,[]
Manganese_1,object,0,66,100.0,[]
Sulphur_1,object,0,66,100.0,[]
Calcium_1,object,0,66,100.0,[]
Magnesium_1,object,0,66,100.0,[]
Boron_1,object,0,66,100.0,[]
Chlorine_Content,object,0,66,100.0,[]
Molybdenum_Content,object,0,66,100.0,[]
Starch,object,0,66,100.0,[]
Oil,object,0,66,100.0,[]
Target_Yield,object,0,66,100.0,[]
Target_Fertilizer,object,0,66,100.0,[]
Target_Nitrogen,object,0,66,100.0,[]
Target_Phosphorus,object,0,66,100.0,[]
Target_Potassium,object,0,66,100.0,[]
Growing_Degree_Days,object,0,66,100.0,[]
Heat_Units,object,0,66,100.0,[]
Harvest_Index_Calc,object,0,66,100.0,[]
Nitrogen_Use_Efficiency,object,0,66,100.0,[]
Water_Use_Efficiency,object,0,66,100.0,[]
Rainfall_Anomaly,object,0,66,100.0,[]
Stress_Index,object,0,66,100.0,[]
Disease_Risk_Index,object,0,66,100.0,[]
Yield_per_Plant,float64,8,58,87.88,"[5799.68, 7681.384, 7995.384, 10875.92, 13784.216]"
Yield_per_Plot_Calc,object,0,66,100.0,[]
Yield_per_Hectare_Calc,object,0,66,100.0,[]
Temp_x_Rainfall,object,0,66,100.0,[]
N_x_P,float64,8,58,87.88,"[1850.0, 9020.0, 8970.0, 1950.0, 3600.0]"
Temp_squared,object,0,66,100.0,[]
Rainfall_7d_MA,object,0,66,100.0,[]
Temp_7d_MA,object,0,66,100.0,[]
Feature_Available_Before_Prediction,object,0,66,100.0,[]
Crop_Code,object,0,66,100.0,[]
Season_Code,object,0,66,100.0,[]
Variety_Code,object,0,66,100.0,[]
Fertilizer_Code,object,0,66,100.0,[]
Soil_Texture_Code,object,0,66,100.0,[]
Country_Code,object,0,66,100.0,[]
Predicted_Yield,object,0,66,100.0,[]
Expected_Biomass,object,0,66,100.0,[]
Expected_Plant_Height,object,0,66,100.0,[]
Recommended_Fertilizer,object,0,66,100.0,[]
Recommended_Dose,object,0,66,100.0,[]
Recommended_Application_Interval,object,0,66,100.0,[]
Expected_Yield_Increase,object,0,66,100.0,[]
Confidence_Score,object,0,66,100.0,[]
Recommendation_Summary,object,0,66,100.0,[]
SOC_Mineralization,object,0,66,100.0,[]
Residue_C_Decomposition,object,0,66,100.0,[]
Potential_Evapotranspiration,object,0,66,100.0,[]
Soil_Moisture,object,0,66,100.0,[]
Soil_Nitrate_N,object,0,66,100.0,[]
Soil_Ammonium_N,object,0,66,100.0,[]
Soil_Available_K,object,0,66,100.0,[]
Soil_POC,object,0,66,100.0,[]
Soil_DOC,object,0,66,100.0,[]
Soil_LOC,object,0,66,100.0,[]
Soil_MBC,object,0,66,100.0,[]
Soil_MBN,object,0,66,100.0,[]
Soil_Carbon_Walkley_Black,object,0,66,100.0,[]
Soil_Nitrogen_Kjeldahl,object,0,66,100.0,[]
Soil_Nitrogen_Alkaline_Permanganate,object,0,66,100.0,[]
Soil_Sulphur_Available,object,0,66,100.0,[]
Soil_Sulphur_Mehlich3,object,0,66,100.0,[]
Soil_NO3,object,0,66,100.0,[]
Soil_NH4,object,0,66,100.0,[]
Soil_N_Parco2020,object,0,66,100.0,[]
Soil_N_DeSilva2008,object,0,66,100.0,[]
Soil_Ca_Ammonium_Acetate,object,0,66,100.0,[]
Soil_Mg_Ammonium_Acetate,object,0,66,100.0,[]
Soil_K_Ammonium_Acetate,object,0,66,100.0,[]
Soil_Glucosidase,object,0,66,100.0,[]
Soil_Xylosidase,object,0,66,100.0,[]
Soil_Cellobiosidase,object,0,66,100.0,[]
Beta_Glucosidase,object,0,66,100.0,[]
Peroxidase,object,0,66,100.0,[]
Polyphenol_Oxidase,object,0,66,100.0,[]
N_Acetyl_Glucosaminidase,object,0,66,100.0,[]
Leucine_Aminopeptidase,object,0,66,100.0,[]
Phosphatase,object,0,66,100.0,[]
Catalase,object,0,66,100.0,[]
Urease,object,0,66,100.0,[]
Dehydrogenase,object,0,66,100.0,[]
Bacterial_Diversity_Chao1,object,0,66,100.0,[]
Bacterial_Diversity_Shannon,object,0,66,100.0,[]
Fungal_Diversity_Chao1,object,0,66,100.0,[]
Fungal_Diversity_Shannon,object,0,66,100.0,[]
Total_PLFAs,object,0,66,100.0,[]
Gram_Positive_PLFAs,object,0,66,100.0,[]
Gram_Negative_PLFAs,object,0,66,100.0,[]
