Dataset,Target,N,P,CV,Model,R2_mean,R2_std,RMSE,MAE,Time_s
1Summary_statistics_data_from_articles,CPY_mean_kg_fresh_ha,5334,73,5-Fold,Ridge,0.3068,0.778,6034.0867,2066.5835,0.81
1Summary_statistics_data_from_articles,CPY_mean_kg_fresh_ha,5334,73,5-Fold,Lasso,0.2657,0.8209,6175.0453,2061.421,5.18
1Summary_statistics_data_from_articles,CPY_mean_kg_fresh_ha,5334,73,5-Fold,DecisionTree,0.9758,0.0175,1300.5781,420.9459,2.6
1Summary_statistics_data_from_articles,CPY_mean_kg_fresh_ha,5334,73,5-Fold,RandomForest,0.9845,0.0083,1067.732,359.3949,46.75
1Summary_statistics_data_from_articles,CPY_mean_kg_fresh_ha,5334,73,5-Fold,ExtraTrees,0.989,0.0059,898.5614,291.7145,45.14
1Summary_statistics_data_from_articles,CPY_mean_kg_fresh_ha,5334,73,5-Fold,GradientBoosting,0.9731,0.0037,1440.8356,874.0478,27.41
1Summary_statistics_data_from_articles,CPY_mean_kg_fresh_ha,5334,73,5-Fold,XGBoost,0.9853,0.0093,1028.023,451.1101,12.16
DRYAD_DATA_FINAL,Yield_13%_moisture,128,13,5-Fold,Ridge,0.0369,0.1761,464.0584,369.3063,0.14
DRYAD_DATA_FINAL,Yield_13%_moisture,128,13,5-Fold,Lasso,0.029,0.2221,465.9372,375.2287,0.13
DRYAD_DATA_FINAL,Yield_13%_moisture,128,13,5-Fold,DecisionTree,-0.9211,0.6847,629.1942,494.6179,0.14
DRYAD_DATA_FINAL,Yield_13%_moisture,128,13,5-Fold,RandomForest,0.0975,0.2644,446.4947,357.4759,3.11
DRYAD_DATA_FINAL,Yield_13%_moisture,128,13,5-Fold,ExtraTrees,0.11,0.2168,440.6324,356.8571,2.5
DRYAD_DATA_FINAL,Yield_13%_moisture,128,13,5-Fold,GradientBoosting,-0.0427,0.2772,482.2281,379.6057,1.76
DRYAD_DATA_FINAL,Yield_13%_moisture,128,13,5-Fold,XGBoost,-0.2729,0.3528,523.8561,422.2504,1.45
