Crop,Recommended_Treatment,Soil_Condition,Climate_Condition,Yield_per_Hectare,Expected_Yield_kg_ha,Application_Method,Application_Interval,Confidence_Score,Recommendation,Model_Efficiency
Bell pepper,Balanced NPK (15-15-15),N/A,,N/A,N/A,Broadcast + incorporation,Every 15-20 days,0.75,Maintain current balanced fertilization,SVR (R²=-0.4303)
Bell pepper,Balanced NPK (15-15-15),N/A,,N/A,N/A,Broadcast + incorporation,Every 15-20 days,0.75,Maintain current balanced fertilization,SVR (R²=-0.4303)
Bell pepper,Balanced NPK (15-15-15),N/A,,N/A,N/A,Broadcast + incorporation,Every 15-20 days,0.75,Maintain current balanced fertilization,SVR (R²=-0.4303)
Bell pepper,Balanced NPK (15-15-15),N/A,,N/A,N/A,Broadcast + incorporation,Every 15-20 days,0.75,Maintain current balanced fertilization,SVR (R²=-0.4303)
Bell pepper,Balanced NPK (15-15-15),N/A,,N/A,N/A,Broadcast + incorporation,Every 15-20 days,0.75,Maintain current balanced fertilization,SVR (R²=-0.4303)
Bell pepper,Balanced NPK (15-15-15),N/A,,N/A,N/A,Broadcast + incorporation,Every 15-20 days,0.75,Maintain current balanced fertilization,SVR (R²=-0.4303)
Bell pepper,Balanced NPK (15-15-15),N/A,,N/A,N/A,Broadcast + incorporation,Every 15-20 days,0.75,Maintain current balanced fertilization,SVR (R²=-0.4303)
Bell pepper,Balanced NPK (15-15-15),N/A,,N/A,N/A,Broadcast + incorporation,Every 15-20 days,0.75,Maintain current balanced fertilization,SVR (R²=-0.4303)
Black Wheat,Balanced NPK (15-15-15),N/A,,N/A,N/A,Broadcast + incorporation,Every 25-30 days,0.75,Maintain current balanced fertilization,SVR (R²=-0.4303)
Black Wheat,Balanced NPK (15-15-15),N/A,,N/A,N/A,Broadcast + incorporation,Every 25-30 days,0.75,Maintain current balanced fertilization,SVR (R²=-0.4303)
Black Wheat,Balanced NPK (15-15-15),N/A,,N/A,N/A,Broadcast + incorporation,Every 25-30 days,0.75,Maintain current balanced fertilization,SVR (R²=-0.4303)
Black Wheat,Balanced NPK (15-15-15),N/A,,N/A,N/A,Broadcast + incorporation,Every 25-30 days,0.75,Maintain current balanced fertilization,SVR (R²=-0.4303)
Black Wheat,Balanced NPK (15-15-15),N/A,,N/A,N/A,Broadcast + incorporation,Every 25-30 days,0.75,Maintain current balanced fertilization,SVR (R²=-0.4303)
Black Wheat,Balanced NPK (15-15-15),N/A,,N/A,N/A,Broadcast + incorporation,Every 25-30 days,0.75,Maintain current balanced fertilization,SVR (R²=-0.4303)
Black Wheat,Balanced NPK (15-15-15),N/A,,N/A,N/A,Broadcast + incorporation,Every 25-30 days,0.75,Maintain current balanced fertilization,SVR (R²=-0.4303)
Black Wheat,Balanced NPK (15-15-15),N/A,,N/A,N/A,Broadcast + incorporation,Every 25-30 days,0.75,Maintain current balanced fertilization,SVR (R²=-0.4303)
Black Wheat,Balanced NPK (15-15-15),N/A,,N/A,N/A,Broadcast + incorporation,Every 25-30 days,0.75,Maintain current balanced fertilization,SVR (R²=-0.4303)
Black Wheat,Balanced NPK (15-15-15),N/A,,N/A,N/A,Broadcast + incorporation,Every 25-30 days,0.75,Maintain current balanced fertilization,SVR (R²=-0.4303)
Carrot,Balanced NPK (15-15-15),N/A,,N/A,N/A,Broadcast + incorporation,Every 15-20 days,0.75,Maintain current balanced fertilization,SVR (R²=-0.4303)
Carrot,Balanced NPK (15-15-15),N/A,,N/A,N/A,Broadcast + incorporation,Every 15-20 days,0.75,Maintain current balanced fertilization,SVR (R²=-0.4303)
Carrot,Balanced NPK (15-15-15),N/A,,N/A,N/A,Broadcast + incorporation,Every 15-20 days,0.75,Maintain current balanced fertilization,SVR (R²=-0.4303)
Carrot,Balanced NPK (15-15-15),N/A,,N/A,N/A,Broadcast + incorporation,Every 15-20 days,0.75,Maintain current balanced fertilization,SVR (R²=-0.4303)
Carrot,Balanced NPK (15-15-15),N/A,,N/A,N/A,Broadcast + incorporation,Every 15-20 days,0.75,Maintain current balanced fertilization,SVR (R²=-0.4303)
Carrot,Balanced NPK (15-15-15),N/A,,N/A,N/A,Broadcast + incorporation,Every 15-20 days,0.75,Maintain current balanced fertilization,SVR (R²=-0.4303)
