Paper,pdfminer_rows,pdfminer_yield,pdfminer_time,pdfminer_conf,pdfplumber_rows,pdfplumber_yield,pdfplumber_time,pdfplumber_conf
1-s2.0-S0016706120325842-main.pdf,0,0,2.7,0.3,0,0,6.1,0.1
1-s2.0-S0048969721016284-main.pdf,0,0,2.2,0.3,0,0,3.2,0.1
1-s2.0-S0167880922002316-main.pdf,0,0,3.4,0.3,0,0,128.4,0.1
1-s2.0-S0301479721013128-main.pdf,0,0,12.0,0.3,0,0,8.8,0.1
Bell pepper.pdf,8,8,2.2,0.7,0,0,2.7,0.1
Black wheat.pdf,8,7,1.7,0.7,0,0,2.7,0.1
Carrot.pdf,0,0,1.7,0.3,8,8,3.1,0.26
Cowpea paper publish.pdf,1,0,2.4,0.35,0,0,3.6,0.1
Land Degrad Dev - 2021 - Yadav - Sustaining the properties of black soil in Central India through crop residue management.pdf,0,0,3.1,0.3,0,0,4.3,0.1
Spinach.pdf,6,0,1.6,0.6000000000000001,8,0,4.4,0.26
agronomy-15-00961-v2.pdf,0,0,4.9,0.3,0,0,5.7,0.1
fpls-12-748523.pdf,0,0,4.1,0.3,0,0,6.5,0.1
fpls-16-1521113.pdf,0,0,3.5,0.3,30,12,5.3,0.7
s41477-021-01001-0.pdf,0,0,15.4,0.3,0,0,18.2,0.1
s41598-017-03539-6.pdf,0,0,1.9,0.3,0,0,3.1,0.1
s42106-025-00391-x.pdf,0,0,2.3,0.3,0,0,3.6,0.1
