Feature,Variance,Non_Null
Year,0.0,0
Crop,0.0,0
Variety,0.0,0
Location,0.0,0
Season,0.0,0
DOI,0.0,0
Design,0.0,0
Replications,0.0,0
Rainfall,0.0,0
Temperature_C,0.0,0
Plant_Height_cm,0.0,8
Tillers,0.0,0
Spike_Length,426.16689955357145,8
Seeds_per_Spike,0.0,0
100_Seed_Weight,0.0,0
Yield_per_Plot,0.0,8
Yield_per_Hectare,4.9633333333333365,3
Yield_per_Acre,0.0,0
Biomass_Yield,9.75942667588933,23
Harvest_Index,0.0,0
SPAD,2.219455357142855,8
Leaf_Area_cm2,34357.06087511111,9
Fruit_Weight,0.0,0
Fruit_Diameter_mm,0.0,0
Fruit_Length,0.0,0
Nitrogen,0.0,0
Phosphorus,0.0,0
Potassium,0.0,0
Organic_Carbon,0.0,0
Soil_pH,0.0,0
Protein,0.028933333333333307,3
Amylose,0.0,0
Iron_ppm,0.0,0
Zinc_ppm,0.0,0
Copper,0.0,0
Manganese_ppm,0.0,0
Sodium,0.0,0
Magnesium,0.0,0
Calcium,0.0,0
Sulfur,0.0,0
Boron,0.0,0
