Paper,pdfminer,camelot,pdfplumber,ocr,semantic,Rows,Confidence,Yield_Obs,Missing_Vars
1-s2.0-S0016706120325842-main.pdf,True,False,False,False,False,1,0.3,0,
1-s2.0-S0048969721016284-main.pdf,True,False,False,False,False,1,0.3,0,
1-s2.0-S0167880922002316-main.pdf,True,False,False,False,False,1,0.3,0,
1-s2.0-S0301479721013128-main.pdf,True,False,False,False,False,1,0.3,0,
Bell pepper.pdf,True,False,False,False,False,8,0.7,8,
Black wheat.pdf,True,False,False,False,False,8,0.7,7,
Carrot.pdf,True,False,True,False,False,8,0.28,8,
Cowpea paper publish.pdf,True,False,False,False,False,1,0.35,0,
Land Degrad Dev - 2021 - Yadav - Sustaining the properties of black soil in Central India through crop residue management.pdf,True,False,False,False,False,1,0.3,0,
Spinach.pdf,True,False,True,False,False,8,0.43,0,
agronomy-15-00961-v2.pdf,True,False,False,False,False,1,0.3,0,
fpls-12-748523.pdf,True,False,False,False,False,1,0.3,0,
fpls-16-1521113.pdf,True,False,True,False,False,3,0.5,3,
s41477-021-01001-0.pdf,False,False,False,False,False,1,0,0,
s41598-017-03539-6.pdf,False,False,False,False,False,1,0,0,
s42106-025-00391-x.pdf,True,False,False,False,False,1,0.3,0,
