Model,N_Samples,N_Features,MAE,MSE,RMSE,R2,Adj_R2,MAPE (%),Median_AE,CV_R2_Mean,CV_R2_Std,CV_MAE_Mean,CV_MAE_Std,AIC,BIC
Multiple Linear Regression,12,2,2.5564,8.258,2.8737,0.9896,0.9872,27.87,2.4565,0.9764,0.0207,3.5655,1.8479,31.33,32.79
Ridge Regression,12,2,2.7458,11.9293,3.4539,0.9849,0.9816,24.62,2.1792,0.9747,0.0206,3.7036,1.923,35.75,37.2
Lasso Regression,12,2,2.5434,8.2686,2.8755,0.9896,0.9872,27.86,2.5511,0.9766,0.0205,3.5485,1.8671,31.35,32.8
Elastic Net,12,2,2.6758,9.9719,3.1578,0.9874,0.9846,25.2,2.5571,0.9777,0.015,3.695,1.539,33.6,35.05
Decision Tree,12,2,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.9959,0.0053,1.0807,0.9011,,
Random Forest,12,2,0.3679,0.2327,0.4824,0.9997,0.9996,2.51,0.2895,0.9881,0.02,1.6242,1.457,,
Extra Trees,12,2,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.9969,0.0029,1.1594,0.7423,,
Gradient Boosting,12,2,0.0007,0.0,0.0007,1.0,1.0,0.01,0.0007,0.9988,0.0018,0.633,0.549,,
XGBoost,12,2,0.0005,0.0,0.0007,1.0,1.0,0.0,0.0004,0.6556,0.6846,4.5796,7.7767,-167.69,-166.23
AdaBoost,12,2,0.025,0.0022,0.0473,1.0,1.0,0.07,0.0,0.9974,0.0031,0.7193,0.6073,,
SVR,12,2,23.3158,545.825,23.3629,0.3103,0.157,245.0,22.672,-0.3069,0.6826,27.8187,4.3483,81.63,83.08
KNN Regression,12,2,1.0468,1.9148,1.3838,0.9976,0.997,4.91,0.671,0.9609,0.0436,3.6706,2.9625,,
